                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 2.1761,                 1.1188,                 1.2599,                 0.6399,                0.36303,                0.44932,                0.18433,                 2.1912,                 1.0936,                 1.2776,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.1698,                 1.1183,                 1.2661,                0.63466,                0.36082,                 0.4477,                0.18445,                 2.1952,                 1.0989,                 1.2787,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.1683,                 1.1147,                 1.2695,                0.63546,                0.36084,                0.44733,                0.18349,                 2.1874,                 1.0926,                  1.276,              0.0004358,              0.0004358,              0.0004358
                     81,                   2.17,                 1.1116,                 1.2629,                 0.6395,                0.36268,                0.44963,                 0.1847,                 2.1921,                 1.0885,                 1.2757,               0.000416,               0.000416,               0.000416
                     82,                 2.1633,                 1.1118,                 1.2571,                0.64088,                0.36408,                0.45109,                0.18675,                 2.1804,                 1.0901,                  1.273,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.1468,                 1.0979,                 1.2623,                0.63857,                0.36232,                0.44912,                0.18617,                 2.1838,                 1.0877,                 1.2753,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.1484,                 1.0943,                 1.2618,                0.64245,                0.36514,                0.45395,                0.18879,                 2.1756,                 1.0768,                 1.2716,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.1387,                 1.1037,                 1.2566,                0.64062,                0.36279,                0.45038,                0.18644,                 2.1796,                 1.0798,                 1.2729,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.1374,                 1.0889,                 1.2561,                0.64064,                0.36696,                0.45381,                0.18826,                 2.1749,                 1.0698,                 1.2706,               0.000317,               0.000317,               0.000317
                     87,                 2.1444,                 1.0906,                 1.2581,                0.65103,                0.35918,                0.45066,                0.18757,                 2.1736,                 1.0805,                 1.2703,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.1385,                 1.0857,                 1.2486,                0.63576,                0.36327,                0.45073,                0.18604,                 2.1775,                 1.0818,                 1.2685,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.1191,                 1.0816,                 1.2546,                0.63628,                0.36434,                  0.452,                 0.1879,                  2.175,                 1.0782,                 1.2684,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.1315,                 1.0916,                 1.2512,                0.64401,                0.36839,                0.45669,                0.19061,                 2.1614,                 1.0658,                 1.2655,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.1126,                 1.0454,                 1.2439,                0.61813,                0.35513,                0.44231,                0.18329,                 2.1845,                 1.1151,                 1.2726,               0.000218,               0.000218,               0.000218
                     92,                 2.0949,                 1.0406,                 1.2369,                0.61749,                0.35361,                0.44103,                0.18236,                 2.1918,                 1.1225,                 1.2758,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.0809,                 1.0232,                  1.227,                0.61296,                 0.3532,                0.43965,                0.18181,                 2.1891,                 1.1228,                 1.2746,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.0711,                 1.0171,                 1.2272,                0.61635,                0.35419,                0.44164,                0.18182,                 2.1945,                 1.1199,                  1.277,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.0687,                 1.0122,                 1.2154,                 0.6107,                0.35405,                0.43905,                0.18095,                 2.1976,                 1.1224,                 1.2773,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.0538,                 1.0083,                 1.2212,                0.61278,                0.35307,                0.43962,                0.18129,                 2.1905,                 1.1238,                 1.2745,               0.000119,               0.000119,               0.000119
                     97,                 2.0427,                  0.999,                 1.2154,                0.61366,                0.35375,                0.44008,                0.18169,                 2.1914,                 1.1178,                 1.2771,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.0426,                 1.0007,                 1.2158,                0.61041,                0.35348,                0.43897,                0.18032,                 2.2005,                 1.1237,                 1.2785,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.0394,                 0.9979,                 1.2067,                0.61231,                0.35308,                0.43905,                0.18052,                 2.2005,                 1.1253,                 1.2791,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.0325,                0.99958,                 1.2035,                0.61708,                0.35341,                0.44037,                0.18132,                 2.2001,                 1.1242,                   1.28,               3.98e-05,               3.98e-05,               3.98e-05
